timestamp,q_w,q_x,q_y,q_z
1753485320645998,0.95642823,-0.23764771,0.04723981,0.16290228
1753485320654734,0.95643085,-0.23764162,0.04723339,0.16289742
1753485320665936,0.95643437,-0.23763159,0.047231417,0.1628919
1753485320674649,0.95643455,-0.23763108,0.047232635,0.16289136
1753485320685881,0.9564342,-0.23763074,0.047239628,0.1628921
1753485320695859,0.9564341,-0.23763138,0.047248498,0.16288891
1753485320705810,0.9564345,-0.23763393,0.047248647,0.162883
1753485320715854,0.95643586,-0.23763427,0.0472464,0.16287509
1753485320725748,0.95643556,-0.23763795,0.047238108,0.16287404
1753485320739445,0.95643526,-0.23764062,0.04723373,0.16287334
1753485320745738,0.9564335,-0.23764606,0.04723568,0.1628753
1753485320759411,0.9564318,-0.23765153,0.047244877,0.16287372
1753485320765637,0.9564307,-0.23765665,0.047249764,0.16287138
1753485320775725,0.95643044,-0.23766002,0.047252763,0.16286746
1753485320785560,0.95643264,-0.23766159,0.047248874,0.16285332
1753485320795576,0.9564346,-0.23765832,0.0472449,0.16284746
1753485320805517,0.95643485,-0.2376599,0.04724938,0.16284235
1753485320815490,0.9564345,-0.23766395,0.04725677,0.16283675
1753485320825445,0.9564336,-0.23766716,0.047262214,0.16283542
1753485320835392,0.9564326,-0.23767291,0.047271017,0.16283095
1753485320844127,0.95643264,-0.23767623,0.047270652,0.16282518
1753485320855346,0.956433,-0.23767759,0.04727129,0.16282111
1753485320865316,0.95643353,-0.23767565,0.047267657,0.16282165
1753485320875262,0.95643556,-0.23767108,0.047271103,0.16281627
1753485320885303,0.9564357,-0.2376671,0.047277704,0.16281874
1753485320895206,0.95643574,-0.23766515,0.047285795,0.1628191
1753485320905183,0.95643574,-0.2376676,0.04728961,0.16281466
1753485320915171,0.9564378,-0.23766574,0.04728317,0.16280667
1753485320928847,0.9564395,-0.23766479,0.04727785,0.16279987
1753485320935094,0.9564432,-0.23765509,0.047270034,0.16279492
1753485320948782,0.9564445,-0.2376501,0.047269672,0.16279455
1753485320955039,0.95644504,-0.23764925,0.04727613,0.1627905
1753485320965065,0.95644426,-0.23765312,0.047278047,0.16278915
1753485320974947,0.9564433,-0.2376589,0.04728361,0.1627849
1753485320984923,0.9564439,-0.23766045,0.04727777,0.16278076
1753485320994934,0.9564449,-0.23765916,0.047276974,0.1627763
1753485321004877,0.9564455,-0.23765844,0.047273867,0.16277495
1753485321014876,0.9564456,-0.23765941,0.047273092,0.16277358
1753485321024835,0.9564443,-0.23766363,0.0472788,0.16277312
1753485321034796,0.95644325,-0.23767205,0.04728466,0.16276541
1753485321044752,0.95644367,-0.23767447,0.047280673,0.16276065
1753485321054752,0.9564455,-0.23767261,0.047276393,0.162754
1753485321064690,0.9564453,-0.23767242,0.047270626,0.16275689
1753485321074687,0.95644456,-0.23767243,0.04727641,0.16275969
1753485321084609,0.9564445,-0.2376737,0.047283985,0.16275558
1753485321094628,0.9564438,-0.23767813,0.04728931,0.16275205
